,train,test,column,skipped,model,acc1,acc2,acc3,mean_acc,accuracy
122,electronics,toys,raw,ADJ,cnn,"0,884","0,886","0,88","0,8833333333",0.8833333333
123,electronics,electronics,raw,ADJ,cnn,"0,904","0,895","0,915","0,9046666667",0.9046666667
124,electronics,home,raw,onlyADJ,cnn,"0,797","0,804","0,808","0,803",0.803
125,electronics,lego,raw,onlyADJ,cnn,"0,884","0,832","0,846","0,854",0.854
126,electronics,toys,raw,onlyADJ,cnn,"0,803","0,785","0,801","0,7963333333",0.7963333333
127,electronics,electronics,raw,onlyADJ,cnn,"0,823","0,814","0,82","0,819",0.819
128,electronics,home,pos,ADJ,cnn,"0,695","0,673","0,674","0,6806666667",0.6806666667
129,electronics,lego,pos,ADJ,cnn,"0,794","0,82","0,734","0,7826666667",0.7826666667
130,electronics,toys,pos,ADJ,cnn,"0,731","0,715","0,701","0,7156666667",0.7156666667
131,electronics,electronics,pos,ADJ,cnn,"0,755","0,744","0,745","0,748",0.748
132,electronics,home,pos,onlyADJ,cnn,"0,602","0,602","0,602","0,602",0.602
133,electronics,lego,pos,onlyADJ,cnn,"0,817","0,818","0,818","0,8176666667",0.8176666667
134,electronics,toys,pos,onlyADJ,cnn,"0,673","0,674","0,674","0,6736666667",0.6736666667
135,electronics,electronics,pos,onlyADJ,cnn,"0,672","0,672","0,672","0,672",0.672
136,electronics,home,combined,ADJ,cnn,"0,873","0,868","0,886","0,8756666667",0.8756666667
137,electronics,lego,combined,ADJ,cnn,"0,867","0,862","0,891","0,8733333333",0.8733333333
138,electronics,toys,combined,ADJ,cnn,"0,88","0,861","0,878","0,873",0.873
139,electronics,electronics,combined,ADJ,cnn,"0,905","0,905","0,91","0,9066666667",0.9066666667
140,electronics,home,combined,onlyADJ,cnn,"0,804","0,807","0,808","0,8063333333",0.8063333333
141,electronics,lego,combined,onlyADJ,cnn,"0,817","0,878","0,833","0,8426666667",0.8426666667
142,electronics,toys,combined,onlyADJ,cnn,"0,776","0,803","0,788","0,789",0.789
143,electronics,electronics,combined,onlyADJ,cnn,"0,816","0,821","0,817","0,818",0.818
144,electronics,home,raw,ADJ,cbow,"0,828","0,833","0,832","0,831",0.831
145,electronics,lego,raw,ADJ,cbow,"0,839","0,885","0,871","0,865",0.865
146,electronics,toys,raw,ADJ,cbow,"0,847","0,851","0,86","0,8526666667",0.8526666667
147,electronics,electronics,raw,ADJ,cbow,"0,875","0,878","0,883","0,8786666667",0.8786666667
148,electronics,home,raw,onlyADJ,cbow,"0,666","0,781","0,768","0,7383333333",0.7383333333
149,electronics,lego,raw,onlyADJ,cbow,"0,861","0,899","0,705","0,8216666667",0.8216666667
150,electronics,toys,raw,onlyADJ,cbow,"0,726","0,81","0,688","0,7413333333",0.7413333333
151,electronics,electronics,raw,onlyADJ,cbow,"0,731","0,815","0,716","0,754",0.754
152,electronics,home,pos,ADJ,cbow,"0,626","0,615","0,615","0,6186666667",0.6186666667
153,electronics,lego,pos,ADJ,cbow,"0,819","0,802","0,8","0,807",0.807
154,electronics,toys,pos,ADJ,cbow,"0,689","0,677","0,686","0,684",0.684
155,electronics,electronics,pos,ADJ,cbow,"0,7","0,695","0,705","0,7",0.7
156,electronics,home,pos,onlyADJ,cbow,"0,602","0,602","0,602","0,602",0.602
157,electronics,lego,pos,onlyADJ,cbow,"0,817","0,786","0,818","0,807",0.807
158,electronics,toys,pos,onlyADJ,cbow,"0,673","0,668","0,674","0,6716666667",0.6716666667
159,electronics,electronics,pos,onlyADJ,cbow,"0,672","0,67","0,672","0,6713333333",0.6713333333
160,electronics,home,combined,ADJ,cbow,"0,835","0,835","0,835","0,835",0.835
161,electronics,lego,combined,ADJ,cbow,"0,864","0,877","0,864","0,8683333333",0.8683333333
162,electronics,toys,combined,ADJ,cbow,"0,859","0,856","0,859","0,858",0.858
163,electronics,electronics,combined,ADJ,cbow,"0,886","0,886","0,881","0,8843333333",0.8843333333
164,electronics,home,combined,onlyADJ,cbow,"0,704","0,801","0,801","0,7686666667",0.7686666667
165,electronics,lego,combined,onlyADJ,cbow,"0,603","0,83","0,849","0,7606666667",0.7606666667
166,electronics,toys,combined,onlyADJ,cbow,"0,598","0,781","0,79","0,723",0.723
167,electronics,electronics,combined,onlyADJ,cbow,"0,623","0,816","0,822","0,7536666667",0.7536666667
168,electronics,home,raw,ADJ,cnn_gru,"0,872","0,879","0,881","0,8773333333",0.8773333333
169,electronics,lego,raw,ADJ,cnn_gru,"0,872","0,849","0,88","0,867",0.867
170,electronics,toys,raw,ADJ,cnn_gru,"0,874","0,879","0,893","0,882",0.882
171,electronics,electronics,raw,ADJ,cnn_gru,"0,91","0,909","0,919","0,9126666667",0.9126666667
172,electronics,home,raw,onlyADJ,cnn_gru,"0,805","0,812","0,805","0,8073333333",0.8073333333
173,electronics,lego,raw,onlyADJ,cnn_gru,"0,833","0,808","0,841","0,8273333333",0.8273333333
174,electronics,toys,raw,onlyADJ,cnn_gru,"0,79","0,775","0,8","0,7883333333",0.7883333333
175,electronics,electronics,raw,onlyADJ,cnn_gru,"0,823","0,811","0,815","0,8163333333",0.8163333333
176,electronics,home,pos,ADJ,cnn_gru,"0,715","0,734","0,735","0,728",0.728
177,electronics,lego,pos,ADJ,cnn_gru,"0,781","0,813","0,806","0,8",0.8
178,electronics,toys,pos,ADJ,cnn_gru,"0,749","0,763","0,757","0,7563333333",0.7563333333
179,electronics,electronics,pos,ADJ,cnn_gru,"0,776","0,793","0,785","0,7846666667",0.7846666667
180,electronics,home,pos,onlyADJ,cnn_gru,"0,602","0,602","0,602","0,602",0.602
